tile_id,max_f1_timestep,max_ndvi_timestep,delta_t
T11SKA_2018_4_2,0,9,9
T10SGF_2018_0_1,15,13,2
T10SFG_2018_8_9,17,12,5
T10SFG_2018_4_8,0,14,14
T10SGF_2018_6_8,0,12,12
T11SKA_2018_3_4,0,9,9
T10TEK_2018_9_6,21,5,16
T11SKV_2018_3_7,23,18,5
T10SGF_2018_7_8,0,2,2
T10SGF_2018_6_3,2,5,3
T11SKA_2018_3_5,1,21,20
T10SEJ_2018_2_5,1,4,3
T11SKA_2018_6_0,14,6,8
T10SGF_2018_2_6,0,18,18
T11SKV_2018_2_9,1,9,8
T10SFG_2018_1_4,2,5,3
T10SEJ_2018_2_9,6,14,8
T10SGF_2018_9_9,13,12,1
T10SGF_2018_7_6,0,12,12
T10SGF_2018_1_5,0,18,18
T10SGG_2018_7_4,23,5,18
T10SFH_2018_7_1,23,14,9
T10SGF_2018_4_2,15,19,4
T11SKA_2018_4_1,2,9,7
T11SKA_2018_7_2,10,12,2
T11SKA_2018_7_4,0,6,6
T10SGF_2018_1_3,0,18,18
T10SGF_2018_2_0,8,9,1
T10SFH_2018_0_1,12,12,0
T10SGF_2018_4_4,0,11,11
T11SLV_2018_9_3,20,5,15
T11SKA_2018_5_5,4,9,5
T10SFJ_2018_6_1,6,4,2
T10SFJ_2018_9_0,21,12,9
T10SFJ_2018_8_2,6,4,2
T10SFH_2018_9_6,0,14,14
T11SKV_2018_5_8,4,9,5
T11SKV_2018_5_5,20,20,0
T10SEJ_2018_1_8,5,7,2
T10SFH_2018_6_5,6,1,5
T11SKV_2018_4_6,18,23,5
T11SKV_2018_6_9,7,9,2
T10SFJ_2018_7_2,6,4,2
T10SEH_2018_3_9,6,12,6
T10SGG_2018_8_5,0,5,5
T10SGF_2018_8_6,4,12,8
T10SEJ_2018_6_9,19,14,5
T10SGG_2018_9_2,7,5,2
T10SFH_2018_9_3,0,14,14
T11SKA_2018_3_1,0,9,9
T11SKA_2018_2_1,0,9,9
T10SFH_2018_1_0,2,11,9
T11SKV_2018_1_6,1,2,1
T10SEJ_2018_2_7,6,12,6
T10SEH_2018_3_8,6,7,1
T10SGF_2018_2_5,0,18,18
T10SGG_2018_3_0,4,5,1
T10SGF_2018_5_6,0,18,18
T10SGG_2018_7_3,22,5,17
T10SGG_2018_7_1,13,5,8
T10SGF_2018_1_4,0,6,6
T10SEH_2018_4_9,6,7,1
T11SKA_2018_2_0,3,6,3
T10SEJ_2018_7_8,6,12,6
T10SGG_2018_9_6,0,5,5
T10SEJ_2018_2_6,21,12,9
T11SKA_2018_8_3,15,6,9
T10SEJ_2018_4_6,18,12,6
T10SFJ_2018_6_0,16,12,4
T10SFG_2018_3_7,1,15,14
T11SKA_2018_3_0,0,9,9
T10SGF_2018_5_8,0,13,13
T10SFH_2018_9_4,22,16,6
T10SFH_2018_5_5,6,7,1
T11SKA_2018_6_2,0,12,12
T10SFH_2018_9_5,6,12,6
T11SLV_2018_8_3,3,23,20
T10SFJ_2018_8_1,22,12,10
T10SGF_2018_3_2,0,19,19
T10SFJ_2018_3_1,6,4,2
T11SKA_2018_7_8,1,21,20
T11SKA_2018_7_3,0,9,9
T10SFH_2018_2_0,5,12,7
T10SGF_2018_2_4,0,19,19
T10SGG_2018_9_0,13,5,8
T11SKA_2018_9_9,1,15,14
T10SGF_2018_3_8,0,19,19
T11SKA_2018_6_3,0,15,15
T11SKA_2018_8_1,7,9,2
T11SKA_2018_1_3,0,9,9
T10SFH_2018_7_4,13,16,3
T10SFH_2018_8_2,15,16,1
T10SFJ_2018_4_0,1,5,4
T10SFG_2018_0_2,0,7,7
T10SGF_2018_9_7,17,15,2
T10SFH_2018_8_5,6,10,4
T10SGF_2018_9_6,0,9,9
T11SLV_2018_6_0,21,8,13
T11SKA_2018_2_2,0,9,9
T10SGF_2018_8_4,4,20,16
T10SEJ_2018_3_7,2,12,10
T11SKV_2018_0_9,1,14,13
T10SGG_2018_6_1,0,5,5
T10SGF_2018_1_0,23,15,8
T11SKA_2018_7_7,1,12,11
T10SFH_2018_0_0,2,12,10
T10SGF_2018_6_6,0,12,12
T11SKV_2018_4_8,23,9,14
T11SKV_2018_4_9,1,9,8
T10SEJ_2018_8_9,14,12,2
T10SEJ_2018_9_8,5,4,1
T10SEJ_2018_1_7,20,12,8
T10TEK_2018_7_7,6,7,1
T11SKV_2018_6_7,0,7,7
T11SKV_2018_0_5,13,12,1
T10SGF_2018_8_8,19,2,17
T10SEH_2018_1_9,2,12,10
T10SGG_2018_7_2,0,5,5
T10SFG_2018_1_6,4,14,10
T10SFG_2018_1_3,11,17,6
T11SLV_2018_8_0,11,7,4
T10SGG_2018_6_0,21,5,16
T10SGF_2018_4_9,14,19,5
T10TEK_2018_6_6,8,5,3
T11SKV_2018_2_8,1,9,8
T10SFG_2018_8_7,0,4,4
T10SFH_2018_5_2,0,14,14
T10SGF_2018_0_4,13,6,7
T10SGF_2018_4_8,0,18,18
T11SKA_2018_8_2,2,9,7
T10SGF_2018_1_1,0,15,15
T11SKV_2018_5_4,4,19,15
T10SGG_2018_4_0,12,5,7
T11SKA_2018_9_6,5,15,10
T10SFH_2018_3_0,6,12,6
T11SKV_2018_3_3,15,9,6
T11SKA_2018_4_3,0,9,9
T10TEK_2018_8_7,0,7,7
T10SFH_2018_1_1,11,14,3
T11SKV_2018_0_6,2,17,15
T10SFH_2018_5_4,0,1,1
T10SGG_2018_4_1,0,5,5
T10SFH_2018_8_6,6,15,9
T11SKA_2018_0_1,0,9,9
T10SFG_2018_4_5,8,7,1
T10SEJ_2018_7_7,6,7,1
T10SEJ_2018_5_7,19,12,7
T11SKV_2018_1_4,0,9,9
T11SKV_2018_4_3,2,9,7
T11SLV_2018_2_0,1,8,7
T10SEJ_2018_9_9,6,12,6
T10SFH_2018_6_3,0,1,1
T10SFJ_2018_5_1,6,4,2
T10SGF_2018_7_5,22,12,10
T10SFG_2018_1_2,15,5,10
T11SKA_2018_6_4,0,12,12
T11SKA_2018_6_5,1,9,8
T11SLV_2018_4_0,1,8,7
T10SFG_2018_3_4,13,5,8
T11SKA_2018_5_2,0,15,15
T10SEJ_2018_8_8,4,12,8
T10SFH_2018_9_7,1,5,4
T10SGF_2018_1_2,23,15,8
T10SGF_2018_1_6,0,18,18
T10SGG_2018_5_0,0,5,5
T11SKV_2018_9_9,18,15,3
T11SKA_2018_1_2,0,9,9
T10SGF_2018_3_5,0,19,19
T10SGG_2018_8_4,0,5,5
T10SEJ_2018_7_9,4,12,8
T10SFH_2018_7_5,6,15,9
T11SKV_2018_5_9,20,8,12
T10SFG_2018_4_9,1,7,6
T10SFG_2018_2_9,20,7,13
T10SFH_2018_8_3,15,12,3
T10SGF_2018_3_4,0,18,18
T10SFJ_2018_4_2,18,4,14
T11SKA_2018_2_6,1,6,5
T10SFH_2018_0_2,6,14,8
T11SKV_2018_5_6,11,9,2
T10SGF_2018_6_5,0,12,12
T10SFG_2018_0_4,22,7,15
T11SKV_2018_3_9,1,18,17
T11SLV_2018_9_1,11,3,8
T10SFJ_2018_5_2,6,14,8
T11SKV_2018_6_8,0,8,8
T10SGF_2018_2_2,0,17,17
T10SGG_2018_9_5,19,5,14
T11SKA_2018_5_9,0,22,22
T10SFJ_2018_2_0,6,14,8
T11SKA_2018_9_5,16,12,4
T10SGF_2018_3_6,0,18,18
T10SFG_2018_6_9,0,5,5
T10SFG_2018_0_3,0,14,14
T11SKA_2018_5_3,0,9,9
T10SFH_2018_6_4,1,1,0
T11SKA_2018_8_4,16,15,1
T10SFJ_2018_9_1,18,12,6
T10SGF_2018_7_7,16,19,3
T11SKA_2018_4_4,0,9,9
T11SKA_2018_4_0,3,9,6
T11SLV_2018_3_0,1,12,11
T10SFJ_2018_7_0,14,12,2
T11SKA_2018_0_0,1,5,4
T10SEJ_2018_2_8,6,14,8
T11SKV_2018_1_9,1,9,8
T11SKV_2018_7_8,23,8,15
T10SFH_2018_6_2,0,14,14
T10SGG_2018_5_1,13,5,8
T10SGF_2018_5_7,0,13,13
T10SFH_2018_6_1,6,7,1
T10SGF_2018_0_6,0,6,6
T10SEJ_2018_4_7,19,12,7
T11SKV_2018_4_7,23,8,15
T10SFH_2018_4_0,6,7,1
T10SGG_2018_8_2,0,5,5
T10SFG_2018_5_6,0,14,14
T10SFG_2018_3_8,0,14,14
T11SKA_2018_0_2,11,6,5
T10SGF_2018_6_9,0,12,12
T10SGF_2018_2_1,2,13,11
T10SFG_2018_1_7,0,9,9
T10SEJ_2018_1_9,6,14,8
T10SGF_2018_4_5,0,19,19
T10SGF_2018_9_8,5,12,7
T10SFG_2018_6_8,4,7,3
T10SFG_2018_2_4,0,14,14
T10SEH_2018_3_4,20,22,2
T10SGG_2018_6_2,21,5,16
T10SFH_2018_9_2,0,14,14
T11SLV_2018_1_0,1,8,7
T11SKA_2018_6_8,1,15,14
T11SKA_2018_3_3,0,9,9
T10SGF_2018_4_6,0,18,18
T10SFH_2018_5_3,1,7,6
T10SGF_2018_0_5,20,6,14
T11SKA_2018_2_3,0,9,9
T10TEK_2018_5_6,2,7,5
T10SGG_2018_8_0,0,13,13
T11SLV_2018_2_1,1,23,22
T10SGG_2018_8_3,0,5,5
T11SKA_2018_1_1,0,9,9
T10TEK_2018_9_7,22,7,15
T11SLV_2018_0_0,1,7,6
T10SEJ_2018_6_6,8,7,1
T11SKV_2018_0_2,23,9,14
T10SGF_2018_7_9,0,2,2
T11SKA_2018_8_0,12,23,11
T10SGF_2018_7_4,2,9,7
T10SFH_2018_3_1,15,7,8
T10SEJ_2018_3_9,6,14,8
T11SKA_2018_5_0,0,9,9
T11SKA_2018_9_4,19,12,7
T10SFH_2018_7_0,12,5,7
T10SGG_2018_3_1,23,6,17
T11SKA_2018_0_3,0,6,6
T10SGF_2018_3_7,0,18,18
T10SFG_2018_2_6,1,18,17
T10SGG_2018_9_3,0,5,5
T11SLV_2018_9_0,23,3,20
T10SFG_2018_0_6,0,14,14
T10SGF_2018_4_3,0,23,23
T10SFG_2018_7_9,12,15,3
T10SFG_2018_3_5,7,14,7
T11SKA_2018_6_1,0,9,9
T11SKA_2018_8_8,13,15,2
T11SKA_2018_8_6,3,5,2
T11SKA_2018_7_1,22,9,13
T10SEJ_2018_0_8,6,7,1
T10SFG_2018_1_8,0,7,7
T11SKA_2018_9_2,1,9,8
T10SGF_2018_5_5,11,20,9
T10SFH_2018_2_1,7,14,7
T10SGF_2018_8_9,7,2,5
T11SKV_2018_6_5,22,9,13
T10SEJ_2018_8_7,5,4,1
T10SFG_2018_0_5,13,7,6
T10SGF_2018_0_3,0,6,6
T11SKA_2018_8_5,9,6,3
T11SKV_2018_3_8,23,9,14
T10SEJ_2018_3_8,14,12,2
T10SEJ_2018_0_7,21,7,14
T11SKV_2018_1_8,5,5,0
T10SGF_2018_3_1,14,12,2
T10SEH_2018_2_9,5,12,7
T10SGG_2018_6_3,23,5,18
T10SGF_2018_2_3,0,18,18
T10SGF_2018_0_2,0,6,6
T10SEJ_2018_5_6,6,12,6
T11SKA_2018_1_0,0,9,9
T10SEJ_2018_6_8,14,11,3
T10SEJ_2018_5_8,7,4,3
T10SFG_2018_2_5,13,14,1
T11SKV_2018_5_7,21,9,12
T11SLV_2018_5_0,7,8,1
T10SGG_2018_9_4,0,5,5
T10SGG_2018_7_0,13,6,7
T10TEK_2018_8_6,0,5,5
T10TEK_2018_9_5,16,5,11
T10SFJ_2018_7_3,7,4,3
T10SGG_2018_9_1,0,13,13
T10SGF_2018_6_7,5,15,10
T11SKV_2018_0_4,19,12,7
T10SGF_2018_6_4,0,20,20
T10SFG_2018_3_6,20,14,6
T10TEK_2018_9_8,6,7,1
T10SFJ_2018_8_3,19,4,15
T10SFG_2018_5_9,3,14,11
T11SKA_2018_7_5,0,12,12
T11SKV_2018_4_2,2,2,0
T10SFG_2018_1_5,2,7,5
T10SFJ_2018_1_0,6,12,6
T10SFJ_2018_3_0,6,12,6
T10SGF_2018_4_7,0,18,18
T10SFJ_2018_9_2,6,4,2
T11SKA_2018_3_2,0,20,20
T10SGF_2018_0_0,2,12,10
T10SEJ_2018_3_6,6,12,6
T10SEH_2018_2_1,19,1,18
T10SFG_2018_3_9,23,7,16
T11SKV_2018_7_7,21,9,12
T10SEH_2018_2_8,6,12,6
T11SKV_2018_1_5,16,12,4
T10SEH_2018_4_5,15,22,7
T11SKA_2018_5_4,0,12,12
T10SFH_2018_5_1,11,16,5
T10SGF_2018_5_3,0,9,9
T10SFJ_2018_8_0,14,12,2
T11SKV_2018_6_6,23,15,8
T10SFH_2018_4_2,0,7,7
T11SKA_2018_4_5,0,9,9
T10SGG_2018_2_0,0,5,5
T11SLV_2018_8_2,21,22,1
T11SKA_2018_8_7,1,13,12
T10SGG_2018_8_1,0,5,5
T10SFG_2018_2_8,1,14,13
T10TEK_2018_8_8,14,5,9
T10SFJ_2018_7_1,6,12,6
T10SFH_2018_4_4,23,7,16
T11SKA_2018_3_8,4,5,1
T11SKA_2018_5_1,0,6,6
T10SEJ_2018_6_7,14,12,2
T10SGF_2018_8_5,8,11,3
T10SFJ_2018_6_2,7,4,3
T10SFH_2018_7_3,0,14,14
T10SFH_2018_7_2,15,14,1
T10SFG_2018_6_6,6,5,1
